id,flight_iata,airline_name,dep_iata,arr_iata,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,flight_status,ingestion_time
1,AF191,Air France,BLR,CDG,2026-05-30 01:25:00,,2026-05-30 08:05:00,,scheduled,2026-05-29 13:46:47.316019
2,6E1419,IndiGo,BLR,AUH,2026-05-30 01:20:00,,2026-05-30 03:50:00,,scheduled,2026-05-29 13:46:47.316019
3,CX624,Cathay Pacific,BLR,HKG,2026-05-30 01:15:00,,2026-05-30 09:30:00,,scheduled,2026-05-29 13:46:47.316019
4,6E6779,IndiGo,BLR,AMD,2026-05-30 01:10:00,,2026-05-30 03:20:00,,scheduled,2026-05-29 13:46:47.316019
5,6E6563,IndiGo,BLR,PNQ,2026-05-30 01:05:00,,2026-05-30 02:35:00,,scheduled,2026-05-29 13:46:47.316019
6,6E5293,IndiGo,BLR,BOM,2026-05-30 01:00:00,,2026-05-30 02:50:00,,scheduled,2026-05-29 13:46:47.316019
7,6E839,IndiGo,BLR,DEL,2026-05-30 01:00:00,,2026-05-30 03:50:00,,scheduled,2026-05-29 13:46:47.316019
8,TG326,Thai Airways,BLR,BKK,2026-05-30 00:55:00,,2026-05-30 06:20:00,,scheduled,2026-05-29 13:46:47.316019
9,6E1605,IndiGo,BLR,DPS,2026-05-30 00:50:00,,2026-05-30 10:20:00,,scheduled,2026-05-29 13:46:47.316019
10,MH193,Malaysia Airlines,BLR,KUL,2026-05-30 00:40:00,,2026-05-30 07:30:00,,scheduled,2026-05-29 13:46:47.316019
11,SL217,Thai Lion Air,BLR,DMK,2026-05-30 00:30:00,,2026-05-30 06:10:00,,scheduled,2026-05-29 13:46:47.316019
12,BZ102,Bluebird Airways,BLR,BOM,2026-05-30 00:25:00,,2026-05-30 02:05:00,,scheduled,2026-05-29 13:46:47.316019
13,BZ304,Bluebird Airways,BLR,DEL,2026-05-30 00:15:00,,2026-05-30 02:55:00,,scheduled,2026-05-29 13:46:47.316019
14,AI2758,Air India,BLR,DEL,2026-05-30 00:15:00,,2026-05-30 03:10:00,,scheduled,2026-05-29 13:46:47.316019
15,VS8450,Virgin Atlantic,BLR,PNQ,2026-05-29 23:05:00,,2026-05-30 00:45:00,,scheduled,2026-05-29 13:46:47.316019
16,QF5247,Qantas,BLR,PNQ,2026-05-29 23:05:00,,2026-05-30 00:45:00,,scheduled,2026-05-29 13:46:47.316019
17,JL9087,Japan Airlines,BLR,PNQ,2026-05-29 23:05:00,,2026-05-30 00:45:00,,scheduled,2026-05-29 13:46:47.316019
18,VS8602,Virgin Atlantic,BLR,JAI,2026-05-29 22:40:00,,2026-05-30 01:10:00,,scheduled,2026-05-29 13:46:47.316019
19,QF8921,Qantas,BLR,JAI,2026-05-29 22:40:00,,2026-05-30 01:10:00,,scheduled,2026-05-29 13:46:47.316019
20,VS8357,Virgin Atlantic,BLR,CCU,2026-05-29 22:20:00,,2026-05-30 01:00:00,,scheduled,2026-05-29 13:46:47.316019
21,QF5117,Qantas,BLR,CCU,2026-05-29 22:20:00,,2026-05-30 01:00:00,,scheduled,2026-05-29 13:46:47.316019
22,JL9795,Japan Airlines,BLR,CCU,2026-05-29 22:20:00,,2026-05-30 01:00:00,,scheduled,2026-05-29 13:46:47.316019
23,VS8347,Virgin Atlantic,BLR,BOM,2026-05-29 20:15:00,,2026-05-29 22:00:00,,scheduled,2026-05-29 13:46:47.316019
24,QF5075,Qantas,BLR,BOM,2026-05-29 20:15:00,,2026-05-29 22:00:00,,scheduled,2026-05-29 13:46:47.316019
25,KL4762,KLM,BLR,BOM,2026-05-29 20:15:00,,2026-05-29 22:00:00,,scheduled,2026-05-29 13:46:47.316019
26,JL9767,Japan Airlines,BLR,BOM,2026-05-29 20:15:00,,2026-05-29 22:00:00,,scheduled,2026-05-29 13:46:47.316019
27,JL9716,Japan Airlines,BLR,GOI,2026-05-29 21:45:00,,2026-05-29 23:00:00,,scheduled,2026-05-29 13:46:47.316019
28,AF3361,Air France,BLR,BOM,2026-05-29 20:15:00,,2026-05-29 22:00:00,,scheduled,2026-05-29 13:46:47.316019
29,VS8338,Virgin Atlantic,BLR,BOM,2026-05-29 22:20:00,,2026-05-30 00:05:00,,scheduled,2026-05-29 13:46:47.316019
30,QF5059,Qantas,BLR,BOM,2026-05-29 22:20:00,,2026-05-30 00:05:00,,scheduled,2026-05-29 13:46:47.316019
31,JL9769,Japan Airlines,BLR,BOM,2026-05-29 22:20:00,,2026-05-30 00:05:00,,scheduled,2026-05-29 13:46:47.316019
32,AI2811,Air India,BLR,BOM,2026-05-29 23:40:00,,2026-05-30 01:45:00,,scheduled,2026-05-29 13:46:47.316019
33,AI9560,Air India,BLR,TRZ,2026-05-29 23:05:00,,2026-05-30 00:15:00,,scheduled,2026-05-29 13:46:47.316019
34,VS8466,Virgin Atlantic,BLR,TRV,2026-05-29 21:35:00,,2026-05-29 22:55:00,,scheduled,2026-05-29 13:46:47.316019
35,JL9616,Japan Airlines,BLR,TRV,2026-05-29 21:35:00,,2026-05-29 22:55:00,,scheduled,2026-05-29 13:46:47.316019
36,VS8224,Virgin Atlantic,BLR,PAT,2026-05-29 20:15:00,,2026-05-29 22:50:00,,scheduled,2026-05-29 13:46:47.316019
37,QF5991,Qantas,BLR,PAT,2026-05-29 20:15:00,,2026-05-29 22:50:00,,scheduled,2026-05-29 13:46:47.316019
38,AI9478,Air India,BLR,MAA,2026-05-29 22:10:00,,2026-05-29 23:20:00,,scheduled,2026-05-29 13:46:47.316019
39,VS9090,Virgin Atlantic,BLR,MAA,2026-05-29 21:50:00,,2026-05-29 22:55:00,,scheduled,2026-05-29 13:46:47.316019
40,LX9857,Swiss,BLR,DEL,2026-05-29 20:00:00,,2026-05-29 22:45:00,,scheduled,2026-05-29 13:46:47.316019
41,ET1758,Ethiopian Airlines,BLR,DEL,2026-05-29 20:00:00,,2026-05-29 22:45:00,,scheduled,2026-05-29 13:46:47.316019
42,VS8358,Virgin Atlantic,BLR,CCU,2026-05-29 20:20:00,,2026-05-29 23:00:00,,scheduled,2026-05-29 13:46:47.316019
43,QF5115,Qantas,BLR,CCU,2026-05-29 20:20:00,,2026-05-29 23:00:00,,scheduled,2026-05-29 13:46:47.316019
44,JL9793,Japan Airlines,BLR,CCU,2026-05-29 20:20:00,,2026-05-29 23:00:00,,scheduled,2026-05-29 13:46:47.316019
